# t,Source,R,A,B,C
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.049493315567472163e+00,8.190025246378858370e-03,7.848607954918937479e-02
1.000000000000000021e-02,0.000000000000000000e+00,5.913518195863336387e-04,1.048692308778878646e+00,1.722209924291428010e-02,3.103697834757311869e-01
2.000000000000000042e-02,0.000000000000000000e+00,3.091190269163602601e-04,1.050599969161796654e+00,2.641526298127694697e-02,2.445589249574527946e-01
2.999999999999999889e-02,0.000000000000000000e+00,-1.035181734682202913e-04,1.051456510757976526e+00,3.188180491370048303e-02,2.733319246208498754e-01
4.000000000000000083e-02,0.000000000000000000e+00,2.920453597899874080e-04,1.051196722455175259e+00,2.763551611557917009e-02,2.276785692831655439e-01
5.000000000000000278e-02,0.000000000000000000e+00,2.259793943067816288e-04,1.051010232339282702e+00,3.102063979328537058e-02,2.334873851974423042e-01
5.999999999999999778e-02,0.000000000000000000e+00,7.807024229027170574e-04,1.051811638653540770e+00,2.878951176066026074e-02,5.175974439966751772e-02
7.000000000000000666e-02,0.000000000000000000e+00,5.550945994307406213e-04,1.051551227483537909e+00,1.711217753629518806e-02,3.204228482016074908e-01
8.000000000000000167e-02,0.000000000000000000e+00,1.247650342894109261e-03,1.052649749163236947e+00,2.670037091985176872e-02,2.577959491605667508e-01
8.999999999999999667e-02,0.000000000000000000e+00,2.935170788945793210e-05,1.053269402958441736e+00,3.216193157723395979e-02,3.303807967516771416e-01
1.000000000000000056e-01,0.000000000000000000e+00,4.696493902094285057e-04,1.052311839495749579e+00,1.574252465773819110e-02,3.199444166877456475e-01
1.100000000000000006e-01,0.000000000000000000e+00,-4.097545143494688534e-06,1.052484589094162759e+00,6.838030802088708102e-03,2.283549102344387127e-02
1.199999999999999956e-01,0.000000000000000000e+00,-3.613210774512740238e-04,1.051947062515999898e+00,0.000000000000000000e+00,1.736026023795128048e-01
1.300000000000000044e-01,0.000000000000000000e+00,1.531819691551206401e-04,1.052602845212775140e+00,0.000000000000000000e+00,2.714176568994422500e-01
1.400000000000000133e-01,0.000000000000000000e+00,8.639798500771032896e-04,1.050664660867473454e+00,0.000000000000000000e+00,1.611040938978225423e-01
1.499999999999999944e-01,0.000000000000000000e+00,4.177851043198887722e-04,1.049545326245093113e+00,6.070473545147767915e-03,1.189274808530455529e-01
1.600000000000000033e-01,0.000000000000000000e+00,4.473645465382050548e-04,1.050384081498558331e+00,1.376188318316290751e-02,2.136684130339745469e-01
1.700000000000000122e-01,0.000000000000000000e+00,1.823647132375235845e-04,1.052808931002524373e+00,3.373367919731043441e-02,2.240670616801765103e-01
1.799999999999999933e-01,0.000000000000000000e+00,-1.875865275343909021e-04,1.052189633419672976e+00,5.133960993922132704e-02,4.211904707642022405e-02
1.900000000000000022e-01,0.000000000000000000e+00,-7.840438572686938049e-05,1.051547010700493168e+00,4.512280023984453770e-02,2.059413868746302612e-01
2.000000000000000111e-01,0.000000000000000000e+00,4.836643900367978044e-04,1.050309490836211834e+00,9.417794287612191173e-03,2.235762941433712958e-01
2.099999999999999922e-01,0.000000000000000000e+00,8.679125604989644961e-04,1.051133015047101438e+00,0.000000000000000000e+00,3.614781229368479454e-01
2.200000000000000011e-01,0.000000000000000000e+00,4.956449229322819772e-04,1.051270806694577065e+00,0.000000000000000000e+00,2.775615241860154292e-01
2.300000000000000100e-01,0.000000000000000000e+00,-9.355278482817456446e-05,1.051073006334892090e+00,0.000000000000000000e+00,1.382428520574149888e-01
2.399999999999999911e-01,0.000000000000000000e+00,-3.977179269604426090e-04,1.051321727943273610e+00,0.000000000000000000e+00,3.367113484367181830e-01
2.500000000000000000e-01,0.000000000000000000e+00,-3.311794472340147638e-04,1.051369621117223652e+00,0.000000000000000000e+00,1.607669182506767935e-01
2.600000000000000089e-01,0.000000000000000000e+00,-7.968573056943289989e-04,1.052457085836703277e+00,1.285596247693699887e-02,2.059640976075233776e-01
2.700000000000000178e-01,0.000000000000000000e+00,-5.430909818558717593e-04,1.053705906987831842e+00,8.703455601424148896e-03,2.273785130157124357e-01
2.800000000000000266e-01,0.000000000000000000e+00,-6.884912150380181591e-04,1.052125642746619683e+00,0.000000000000000000e+00,1.512771472509620851e-01
2.899999999999999800e-01,0.000000000000000000e+00,-7.494383722819972790e-04,1.052461756016753958e+00,0.000000000000000000e+00,3.651135270921759268e-01
2.999999999999999889e-01,0.000000000000000000e+00,-1.189691161067547636e-03,1.052814725701821441e+00,0.000000000000000000e+00,4.010085692494408383e-01
3.099999999999999978e-01,0.000000000000000000e+00,-1.193279327466863085e-03,1.053376498569346342e+00,0.000000000000000000e+00,3.731641620029996220e-01
3.200000000000000067e-01,0.000000000000000000e+00,1.534118564540222843e-04,1.052540228181883863e+00,0.000000000000000000e+00,3.261603404574713871e-01
3.300000000000000155e-01,0.000000000000000000e+00,-4.841169494949040721e-04,1.052846225746240760e+00,0.000000000000000000e+00,2.588242411257337672e-01
3.400000000000000244e-01,0.000000000000000000e+00,-9.612560501189661199e-05,1.052390605962057357e+00,0.000000000000000000e+00,3.374292489953964469e-01
3.500000000000000333e-01,0.000000000000000000e+00,-6.517001752192119269e-04,1.053713037236905459e+00,0.000000000000000000e+00,3.374625957711884783e-01
3.599999999999999867e-01,0.000000000000000000e+00,-3.506433303125438476e-04,1.053072717560269433e+00,0.000000000000000000e+00,3.045515192217218003e-01
