# t,Source,R,A,B,C
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.921698488272249650e-01,0.000000000000000000e+00,7.186602968968779592e+00
2.000000000000000042e-02,0.000000000000000000e+00,1.966081732509582290e-04,7.915561785886451318e-01,0.000000000000000000e+00,7.080824314965656008e+00
4.000000000000000083e-02,0.000000000000000000e+00,2.326283215896502235e-04,7.926875301077014324e-01,9.419775134065816631e-04,7.173564562736205907e+00
5.999999999999999778e-02,0.000000000000000000e+00,-3.931704932113806771e-04,7.927548343350988569e-01,0.000000000000000000e+00,7.289951259243399484e+00
8.000000000000000167e-02,0.000000000000000000e+00,-4.262284348108219090e-04,7.916582574421848761e-01,4.015348823080914370e-03,7.271093882499855887e+00
1.000000000000000056e-01,0.000000000000000000e+00,-6.479723622829534424e-04,7.969437129235215078e-01,0.000000000000000000e+00,7.164991831029474234e+00
1.199999999999999956e-01,0.000000000000000000e+00,-9.156983424309200455e-04,7.997864924573009349e-01,0.000000000000000000e+00,6.995264899206391718e+00
1.400000000000000133e-01,0.000000000000000000e+00,-1.595458547364459866e-04,8.004974264266085937e-01,0.000000000000000000e+00,7.265079316244337448e+00
1.600000000000000033e-01,0.000000000000000000e+00,-3.504210163567716887e-04,8.028882538856301210e-01,0.000000000000000000e+00,7.240034659159828578e+00
1.799999999999999933e-01,0.000000000000000000e+00,-7.907173421990026669e-04,8.028605703768855184e-01,0.000000000000000000e+00,7.105438168647710384e+00
2.000000000000000111e-01,0.000000000000000000e+00,-2.934163597424876003e-04,8.027380958778552733e-01,0.000000000000000000e+00,7.076849753612016514e+00
2.200000000000000011e-01,0.000000000000000000e+00,7.383246692709683444e-05,8.024874433331750101e-01,0.000000000000000000e+00,7.228653131127831699e+00
2.399999999999999911e-01,0.000000000000000000e+00,1.044741982003184109e-04,8.022426262800654850e-01,8.371212503580909015e-03,7.199089046457949337e+00
2.600000000000000089e-01,0.000000000000000000e+00,-6.491418887710935569e-05,8.029773167839300285e-01,2.953719918018857596e-03,7.288425852728304122e+00
2.800000000000000266e-01,0.000000000000000000e+00,-1.170370223226530147e-03,8.024256187366308746e-01,1.275191779493262297e-02,7.401343462449309740e+00
2.999999999999999889e-01,0.000000000000000000e+00,-1.216145778715190060e-03,8.015528750006674086e-01,1.316886763282669980e-02,7.224980987427998436e+00
3.200000000000000067e-01,0.000000000000000000e+00,-4.740870252831248669e-04,8.028874919260003962e-01,0.000000000000000000e+00,7.254948628300328828e+00
3.400000000000000244e-01,0.000000000000000000e+00,-9.128239947966672405e-04,8.026259668136680459e-01,0.000000000000000000e+00,7.254013283415240210e+00
3.599999999999999867e-01,0.000000000000000000e+00,-1.684092974696449517e-03,8.054067888259222041e-01,0.000000000000000000e+00,7.074311421025675450e+00
3.800000000000000044e-01,0.000000000000000000e+00,-3.722197716145243373e-03,8.052706421351294441e-01,0.000000000000000000e+00,7.153538187236224921e+00
