# t,Source,R,A,B,C
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.550495581941071288e-01,9.487206105084089198e-05,4.810247999289946286e+00
2.000000000000000042e-02,0.000000000000000000e+00,-8.934321496510821015e-04,7.552440026298877784e-01,3.811229592736756558e-03,5.003363947547466495e+00
4.000000000000000083e-02,0.000000000000000000e+00,-9.646420247546028115e-04,7.550074807052572501e-01,2.150428217201307696e-02,5.002532229839538935e+00
5.999999999999999778e-02,0.000000000000000000e+00,-6.032701272432334626e-04,7.571228318512838174e-01,3.323210897295743316e-02,4.857608893926731675e+00
8.000000000000000167e-02,0.000000000000000000e+00,1.922143052045260534e-04,7.579556996546930048e-01,4.353932120465796307e-02,4.975046056829143915e+00
1.000000000000000056e-01,0.000000000000000000e+00,-3.526445125632122991e-04,7.587827530472511794e-01,4.535625820960577370e-02,4.897201016503563764e+00
1.199999999999999956e-01,0.000000000000000000e+00,5.177979640748522471e-04,7.580643825596466989e-01,2.237884357526232632e-02,4.975745657142248035e+00
1.400000000000000133e-01,0.000000000000000000e+00,6.879785615302824557e-05,7.586529990834798287e-01,1.066350946209902208e-02,4.870697464144885025e+00
1.600000000000000033e-01,0.000000000000000000e+00,-1.211821493798444921e-03,7.551777792260707667e-01,0.000000000000000000e+00,4.837479749691798503e+00
1.799999999999999933e-01,0.000000000000000000e+00,-2.047293706594573593e-03,7.528550010701622330e-01,4.334377950112287825e-03,4.948375749666715784e+00
2.000000000000000111e-01,0.000000000000000000e+00,-1.991177249032037837e-03,7.527838238915322000e-01,2.593727983982235807e-02,5.010552816502035434e+00
2.200000000000000011e-01,0.000000000000000000e+00,-2.164414399445738994e-03,7.536712157335898610e-01,2.666535184518852714e-02,5.043237268875235380e+00
2.399999999999999911e-01,0.000000000000000000e+00,-1.996987574826457248e-04,7.530519059732805331e-01,3.636756406837222261e-02,4.963857638068732037e+00
2.600000000000000089e-01,0.000000000000000000e+00,-1.580521267397458872e-03,7.530040290127369973e-01,2.403022478206692097e-02,4.860229736801079170e+00
2.800000000000000266e-01,0.000000000000000000e+00,-1.908333283640595941e-03,7.539888704652113471e-01,1.524996691894159317e-02,4.950651949283289888e+00
2.999999999999999889e-01,0.000000000000000000e+00,-1.060017051919174159e-03,7.533061750217781016e-01,2.579687361077727739e-02,5.200185700524141197e+00
3.200000000000000067e-01,0.000000000000000000e+00,-2.948032852014138665e-04,7.540197307460384524e-01,1.767286324768334652e-02,4.857813121653991928e+00
3.400000000000000244e-01,0.000000000000000000e+00,9.931181838792563048e-04,7.554420199126341551e-01,3.908266183468536020e-03,5.124073756828344983e+00
3.599999999999999867e-01,0.000000000000000000e+00,1.102770711060457572e-03,7.557121247457855295e-01,0.000000000000000000e+00,4.972298202051560700e+00
3.800000000000000044e-01,0.000000000000000000e+00,1.468672847919786761e-03,7.545058987685233642e-01,0.000000000000000000e+00,4.933924799009179907e+00
