# t,Source,R,A,B,C
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.469263532871668998e-01,0.000000000000000000e+00,5.198761630128367450e+00
1.000000000000000021e-02,0.000000000000000000e+00,-3.074010360149845669e-04,9.476531515704209596e-01,0.000000000000000000e+00,5.063390862348429167e+00
2.000000000000000042e-02,0.000000000000000000e+00,-1.499159925504461388e-03,9.505586255040404664e-01,0.000000000000000000e+00,5.191866958100579410e+00
2.999999999999999889e-02,0.000000000000000000e+00,-1.759911236849248618e-03,9.509202268017423743e-01,0.000000000000000000e+00,4.980369850498709283e+00
4.000000000000000083e-02,0.000000000000000000e+00,-7.254292882116135203e-04,9.503321988830887301e-01,8.357160482767743079e-03,5.100975938095203333e+00
5.000000000000000278e-02,0.000000000000000000e+00,-7.282313356072853171e-04,9.504032785586271626e-01,8.868364059797904583e-03,5.142946938258909029e+00
5.999999999999999778e-02,0.000000000000000000e+00,-3.405588323614637449e-04,9.497012120718282269e-01,7.186763471317433524e-03,5.244116047557526805e+00
7.000000000000000666e-02,0.000000000000000000e+00,-3.892640830350676509e-04,9.507365286676041638e-01,0.000000000000000000e+00,5.319917502181865210e+00
8.000000000000000167e-02,0.000000000000000000e+00,-1.081663011225825460e-03,9.506830876887801818e-01,0.000000000000000000e+00,5.188175541820650771e+00
8.999999999999999667e-02,0.000000000000000000e+00,-1.492113424382859790e-03,9.497581202565106295e-01,0.000000000000000000e+00,5.168297805443390125e+00
1.000000000000000056e-01,0.000000000000000000e+00,-1.556914466040832832e-03,9.505789795443929657e-01,0.000000000000000000e+00,5.078861789514337310e+00
1.100000000000000006e-01,0.000000000000000000e+00,-1.627718175798909938e-03,9.500207189065011937e-01,9.975231017428237007e-03,5.205676515203187193e+00
1.199999999999999956e-01,0.000000000000000000e+00,-5.441237163578982201e-04,9.508329051889613526e-01,1.947811806955633204e-02,5.156452123056319614e+00
1.300000000000000044e-01,0.000000000000000000e+00,-1.231764499713534325e-04,9.496141657601883113e-01,2.324180848830657148e-04,5.234549071270127918e+00
1.400000000000000133e-01,0.000000000000000000e+00,2.526628708460810797e-04,9.497022819250093839e-01,0.000000000000000000e+00,5.271193817825078121e+00
