# t,Source,R,A,B,C
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.015786251964640341e+00,2.465098563261183991e-03,3.132411613728703248e+00
5.000000000000000278e-02,0.000000000000000000e+00,1.057191355219422963e-03,1.018282167287602791e+00,0.000000000000000000e+00,3.052317424376679966e+00
1.000000000000000056e-01,0.000000000000000000e+00,9.874168728235788953e-04,1.020748137571750203e+00,3.089838444469167333e-03,2.956868365438284574e+00
1.500000000000000222e-01,0.000000000000000000e+00,-1.606932188441950998e-03,1.021574667456045082e+00,1.500847818478808458e-02,3.082459527474895822e+00
2.000000000000000111e-01,0.000000000000000000e+00,-5.709278231585647933e-04,1.025238655226551110e+00,0.000000000000000000e+00,3.087875252154071770e+00
2.500000000000000000e-01,0.000000000000000000e+00,-8.059880906040421678e-04,1.021785461674700635e+00,0.000000000000000000e+00,2.898061707664646658e+00
3.000000000000000444e-01,0.000000000000000000e+00,8.600733680500059894e-04,1.022776279175832581e+00,0.000000000000000000e+00,2.980371691230972786e+00
3.500000000000000333e-01,0.000000000000000000e+00,-2.974370770646890538e-04,1.020349235182188341e+00,0.000000000000000000e+00,3.012311674923983329e+00
4.000000000000000222e-01,0.000000000000000000e+00,8.292280380229199869e-04,1.016952267122588349e+00,0.000000000000000000e+00,2.994029485479352992e+00
4.500000000000000111e-01,0.000000000000000000e+00,5.984465628827184995e-04,1.020493637532359443e+00,0.000000000000000000e+00,2.857001911981035924e+00
5.000000000000000000e-01,0.000000000000000000e+00,2.304092631432676317e-03,1.021204507285402574e+00,0.000000000000000000e+00,4.883718889268228835e+00
5.500000000000000444e-01,0.000000000000000000e+00,1.890182126767538107e-05,1.021259337545970203e+00,0.000000000000000000e+00,4.892778633922643117e+00
6.000000000000000888e-01,0.000000000000000000e+00,-1.701285049084805745e-03,1.021420235603519577e+00,8.128766457943328166e-03,4.904358917172657151e+00
6.500000000000000222e-01,0.000000000000000000e+00,-1.552259409181812625e-03,1.018181492903491803e+00,2.515142286240502900e-02,4.850433510253179037e+00
7.000000000000000666e-01,0.000000000000000000e+00,-1.713067997217654782e-03,1.018195986871013092e+00,2.774311555393214890e-02,4.625109922895727976e+00
7.500000000000000000e-01,0.000000000000000000e+00,-2.485957228006356427e-04,1.016608507059000743e+00,2.488790832067322434e-03,4.803328886937935138e+00
8.000000000000000444e-01,0.000000000000000000e+00,4.396537155867585498e-04,1.021391246410845000e+00,0.000000000000000000e+00,4.803054631288885545e+00
8.500000000000000888e-01,0.000000000000000000e+00,-5.653560443044647593e-04,1.019382403210967958e+00,0.000000000000000000e+00,4.738004226923403728e+00
9.000000000000000222e-01,0.000000000000000000e+00,2.191734888183575602e-04,1.018858035108240134e+00,9.370413003350064329e-04,4.805882651648780701e+00
9.500000000000000666e-01,0.000000000000000000e+00,3.792909572755134243e-06,1.017740269771485462e+00,5.584767264443896498e-03,4.752846015000964819e+00
1.000000000000000000e+00,0.000000000000000000e+00,-2.892256255219954170e-04,1.016546009725656452e+00,0.000000000000000000e+00,4.797189994622176101e+00
1.050000000000000044e+00,0.000000000000000000e+00,-8.494845127872937066e-04,1.020182658255497143e+00,0.000000000000000000e+00,4.789224550563996097e+00
1.100000000000000089e+00,0.000000000000000000e+00,-1.251363746330491026e-03,1.022265305825270865e+00,0.000000000000000000e+00,4.873588815261675755e+00
1.150000000000000133e+00,0.000000000000000000e+00,-2.081389009325153392e-03,1.021897355952092301e+00,1.834990669949892669e-02,4.818773405301442381e+00
1.200000000000000178e+00,0.000000000000000000e+00,-1.426955685457817827e-03,1.025793987678476071e+00,4.253358480806621045e-02,4.588056528593766004e+00
1.250000000000000000e+00,0.000000000000000000e+00,7.323393551420275850e-04,1.028331695118807954e+00,4.824080844566837334e-02,4.949529429095534283e+00
1.300000000000000044e+00,0.000000000000000000e+00,8.187077379177977281e-04,1.024293580205046572e+00,3.493947402840415217e-02,4.828981446613202166e+00
1.350000000000000089e+00,0.000000000000000000e+00,6.643375774811353723e-04,1.026679863040962148e+00,2.864477256516571695e-03,4.895384956373215246e+00
1.400000000000000133e+00,0.000000000000000000e+00,-5.858401356355881712e-04,1.031182427706104354e+00,5.386515651183672662e-04,4.679460828516831761e+00
1.450000000000000178e+00,0.000000000000000000e+00,-2.643884974484048459e-04,1.029225618180472424e+00,1.598319155982636658e-02,9.552722282263029996e+00
1.500000000000000000e+00,0.000000000000000000e+00,1.201148455653419916e-03,1.025398096652240687e+00,3.334016772238735521e-02,9.437546904504266365e+00
